blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.05150,8.36725,34.97705,0.96526
innercrop,1.10988,7.47099,30.32231,0.87839
tukey,1.11875,7.21017,31.52510,0.90937
ensemble,1.01621,5.18612,28.00455,0.77535
poisson,1.00356,8.93155,34.06371,0.99017
