blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.05317,8.67888,34.40203,0.95812
innercrop,1.08412,8.28050,30.94026,0.89802
tukey,1.13313,7.40002,30.59787,0.88898
ensemble,1.01732,5.04963,27.27346,0.72776
poisson,0.99935,9.40735,32.93701,0.98821
