blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.49375,6.43114,26.10474,0.73630
linear,1.15525,4.91161,33.09421,0.93030
cosine,1.12612,5.23582,34.28522,0.94814
gaussian,1.10190,5.42157,35.16672,0.95914
data,1.16229,5.12883,33.19002,0.92978
