blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.25312,8.44508,25.18381,0.72772
linear,0.97641,6.46226,31.55662,0.92592
cosine,0.95407,6.84158,32.80693,0.94579
gaussian,0.93367,7.06099,33.83896,0.95830
data,0.97338,6.79811,32.05912,0.93085
