blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.29967,9.46144,24.92706,0.70877
linear,1.08022,7.31712,31.53302,0.92423
cosine,1.05649,7.74544,32.85877,0.94603
gaussian,1.03282,7.98774,33.97069,0.95961
data,1.07468,7.71731,32.10454,0.93216
