blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.05011,7.03270,35.21110,0.96625
innercrop,1.09058,6.62607,31.82197,0.91285
tukey,1.11327,6.07721,32.15270,0.91617
ensemble,1.00030,4.28029,28.62598,0.79149
poisson,0.99658,7.58605,31.48127,0.98878
