delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,32.29740,0.86600,4.23402,6.62593,40
6,81.25000,31.18109,0.83910,5.03660,7.45328,40
10,68.75000,30.30854,0.80830,5.71850,8.25431,40
13,59.37500,29.60111,0.77850,6.34197,8.96071,40
16,50.00000,28.81462,0.74384,7.12839,9.80733,40
19,40.62500,28.60834,0.70580,7.45306,10.19624,40
22,31.25000,27.73802,0.65851,8.34920,11.18217,40
26,18.75000,27.39232,0.60305,8.97660,11.90194,40
29,9.37500,26.45022,0.53494,10.25076,13.50110,40
31,3.12500,26.04744,0.49166,11.02066,14.48388,40
