y,x,delta,overlap_pct,psnr,ssim,mae,rmse
160,768,6,81.25000,31.12957,0.85907,4.76215,7.08046
288,1120,6,81.25000,36.46060,0.89082,2.63687,3.83275
288,1280,6,81.25000,32.35757,0.87969,4.86667,6.14698
448,736,6,81.25000,32.50626,0.89814,4.67878,6.04264
480,32,6,81.25000,34.40300,0.84667,3.66539,4.85725
512,384,6,81.25000,36.12595,0.87906,2.93076,3.98330
512,640,6,81.25000,32.40874,0.81828,4.19649,6.11087
640,1344,6,81.25000,29.62731,0.79846,5.77046,8.41733
704,768,6,81.25000,35.20792,0.84148,3.37731,4.42735
800,736,6,81.25000,30.41383,0.79500,5.66799,7.68862
832,512,6,81.25000,31.43792,0.86260,4.01781,6.83352
832,896,6,81.25000,26.17097,0.82865,7.88803,12.53117
896,640,6,81.25000,25.50385,0.81980,8.76015,13.53155
896,800,6,81.25000,25.72330,0.84419,7.80893,13.19397
928,160,6,81.25000,28.58723,0.83697,6.32940,9.48809
928,416,6,81.25000,30.38645,0.79135,5.43491,7.71290
992,800,6,81.25000,30.84729,0.81317,5.01693,7.31435
1024,1280,6,81.25000,35.34240,0.86595,3.26301,4.35933
1056,960,6,81.25000,30.30847,0.78703,5.59591,7.78245
1088,1312,6,81.25000,30.65867,0.84790,4.20510,7.47492
1184,1120,6,81.25000,32.57929,0.87994,4.44621,5.99205
1216,64,6,81.25000,31.30796,0.82211,4.68692,6.93653
1248,1120,6,81.25000,29.58660,0.80904,5.57189,8.45688
1312,1280,6,81.25000,29.74168,0.82828,5.27282,8.30723
1344,384,6,81.25000,28.69095,0.79317,6.20542,9.37546
1376,864,6,81.25000,32.62173,0.89919,4.95230,5.96285
1376,1376,6,81.25000,32.12855,0.87294,4.43377,6.31121
1408,640,6,81.25000,29.17096,0.74337,6.18313,8.87140
1408,1248,6,81.25000,28.91013,0.85005,5.45432,9.14184
1472,1344,6,81.25000,28.72148,0.77566,6.23808,9.34256
1536,352,6,81.25000,34.31835,0.84177,3.66269,4.90482
1568,1312,6,81.25000,31.28935,0.84376,4.70450,6.95140
1632,640,6,81.25000,24.04807,0.80425,10.53673,16.00061
32,192,10,68.75000,32.12761,0.86803,5.02955,6.31189
32,1152,10,68.75000,35.27274,0.84969,3.30078,4.39444
64,192,10,68.75000,28.13490,0.82640,5.21172,9.99529
64,992,10,68.75000,31.06983,0.77725,5.19103,7.12933
96,96,10,68.75000,32.61551,0.84275,4.26956,5.96712
128,1088,10,68.75000,32.17511,0.83020,4.62093,6.27747
160,160,10,68.75000,28.94575,0.78917,6.06140,9.10442
160,768,10,68.75000,29.40185,0.81167,5.91685,8.63869
288,1120,10,68.75000,33.77588,0.85755,3.64370,5.22091
288,1280,10,68.75000,35.29221,0.87427,3.28980,4.38460
448,736,10,68.75000,33.53419,0.88428,4.18458,5.36822
480,32,10,68.75000,32.89591,0.81161,4.38825,5.77756
512,384,10,68.75000,34.95484,0.83816,3.42584,4.55825
512,640,10,68.75000,32.37440,0.79390,4.38838,6.13508
640,1344,10,68.75000,28.84038,0.76452,6.51579,9.21555
704,768,10,68.75000,33.66608,0.82769,4.01743,5.28733
800,736,10,68.75000,28.64431,0.75074,7.48655,9.42594
832,512,10,68.75000,30.60462,0.83097,4.66053,7.52158
832,896,10,68.75000,25.51185,0.79208,8.80992,13.51909
896,640,10,68.75000,24.56480,0.78558,10.03841,15.07649
896,800,10,68.75000,25.17681,0.82676,8.96350,14.05076
928,160,10,68.75000,27.81182,0.79771,7.12683,10.37407
928,416,10,68.75000,29.44595,0.74521,6.31207,8.59494
992,800,10,68.75000,29.54398,0.74634,6.07644,8.49848
1024,1280,10,68.75000,35.29527,0.85721,3.23782,4.38305
1056,960,10,68.75000,29.81119,0.76081,6.05046,8.24101
1088,1312,10,68.75000,30.43975,0.83202,4.32200,7.66571
1184,1120,10,68.75000,32.88204,0.85525,3.92891,5.78680
1216,64,10,68.75000,30.72228,0.77926,5.31341,7.42038
1248,1120,10,68.75000,28.03163,0.78231,6.60959,10.11483
1312,1280,10,68.75000,29.18341,0.81264,5.76375,8.85869
1344,384,10,68.75000,28.23337,0.76526,6.56803,9.88261
1376,864,10,68.75000,30.36907,0.88366,6.52122,7.72835
1376,1376,10,68.75000,30.46546,0.82607,5.63020,7.64306
1408,640,10,68.75000,27.55514,0.70243,7.17657,10.68521
1408,1248,10,68.75000,27.97995,0.82295,6.36094,10.17519
1472,1344,10,68.75000,27.71238,0.72951,7.12636,10.49352
