delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,29.53114,0.85829,5.32905,8.87254,40
6,81.25000,28.91309,0.83490,5.98716,9.49391,40
10,68.75000,27.86842,0.79267,7.14610,10.75673,40
13,59.37500,27.26774,0.76230,7.87348,11.56787,40
16,50.00000,26.57695,0.72408,8.68171,12.57535,40
19,40.62500,26.08698,0.69053,9.31637,13.32474,40
22,31.25000,25.53787,0.63681,10.22270,14.40691,40
26,18.75000,24.55401,0.54322,11.74266,16.18261,40
29,9.37500,23.94415,0.46902,12.83442,17.34396,40
31,3.12500,23.72732,0.39956,13.31288,17.88568,40
