blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.00356,6.68604,35.46510,0.96597
innercrop,1.09190,5.76552,30.90672,0.87410
tukey,1.07973,5.63496,32.31881,0.91017
ensemble,1.00116,3.89297,28.83085,0.78499
poisson,0.95785,7.10503,32.01819,0.98624
