blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.02250,6.64058,35.58980,0.96654
innercrop,1.05486,6.43626,32.91222,0.92933
tukey,1.08291,5.80396,32.96870,0.92433
ensemble,1.00953,4.08467,29.36873,0.81128
poisson,0.97190,7.14831,34.87403,0.99030
