blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.28616,10.57187,24.90013,0.66305
linear,1.11679,8.21265,31.91258,0.92040
cosine,1.08647,8.76792,33.29727,0.94527
gaussian,1.06004,9.08531,34.36199,0.95978
data,1.09729,8.69739,32.41975,0.92974
