blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.30629,8.01425,25.90346,0.70736
linear,1.12323,6.02672,32.63171,0.92612
cosine,1.09612,6.42494,33.82253,0.94746
gaussian,1.07125,6.66107,34.79380,0.96077
data,1.11406,6.36686,33.10888,0.93292
