delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,29.05588,0.83496,6.25065,9.73345,40
6,81.25000,27.69552,0.78997,7.57080,11.34264,40
10,68.75000,26.45723,0.73570,8.97471,12.96095,40
13,59.37500,26.05365,0.70990,9.76057,13.69828,40
16,50.00000,25.58029,0.67393,10.56024,14.48342,40
19,40.62500,24.97453,0.63711,11.45400,15.48697,40
22,31.25000,24.38860,0.59604,12.61431,16.70406,40
26,18.75000,23.45389,0.52121,14.23238,18.64150,40
29,9.37500,22.78549,0.46949,15.53590,20.11916,40
31,3.12500,22.26023,0.39311,16.59475,21.46845,40
