delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,32.61231,0.87331,4.05897,6.34187,40
6,81.25000,31.56763,0.84605,4.76603,7.22601,40
10,68.75000,30.41186,0.81302,5.72129,8.21938,40
13,59.37500,29.82378,0.78861,6.29125,8.86562,40
16,50.00000,29.11575,0.76175,7.00841,9.66966,40
19,40.62500,28.41066,0.73102,7.81394,10.55088,40
22,31.25000,27.66738,0.68743,8.66137,11.56050,40
26,18.75000,27.01183,0.62052,9.45828,12.45728,40
29,9.37500,26.49349,0.57105,10.24479,13.42390,40
31,3.12500,26.34844,0.54103,10.45785,13.70805,40
