delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,32.26150,0.86893,4.43534,6.83311,40
6,81.25000,30.94884,0.83783,5.44494,7.98726,40
10,68.75000,30.06616,0.80687,6.25667,8.81734,40
13,59.37500,29.83516,0.79296,6.40547,8.92543,40
16,50.00000,29.35470,0.76443,6.97532,9.58744,40
19,40.62500,28.92772,0.73814,7.40808,10.02915,40
22,31.25000,28.69878,0.70448,7.82014,10.52831,40
26,18.75000,27.94271,0.64149,8.53250,11.48584,40
29,9.37500,27.39064,0.59008,9.28348,12.45985,40
31,3.12500,27.05951,0.54604,9.86522,13.22490,40
