blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.06617,8.40889,35.12865,0.96523
innercrop,1.08146,8.27930,32.51957,0.93124
tukey,1.13243,7.33214,31.88420,0.91384
ensemble,1.04166,5.31053,28.33634,0.78454
poisson,1.01696,9.01812,33.31593,0.99044
