blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,0.99484,6.98066,36.70589,0.97136
innercrop,1.05744,6.38461,31.88387,0.90382
tukey,1.04231,6.19857,33.23990,0.93337
ensemble,1.00412,4.82731,29.66771,0.84884
poisson,0.95646,7.32006,33.15859,0.98775
