delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,29.82315,0.83795,5.62326,8.81374,40
6,81.25000,29.32375,0.81502,6.10539,9.37312,40
10,68.75000,27.85703,0.76589,7.49304,11.00960,40
13,59.37500,27.33466,0.74047,8.14333,11.80757,40
16,50.00000,26.70465,0.70574,9.03763,12.79728,40
19,40.62500,26.24138,0.67147,9.62585,13.45698,40
22,31.25000,25.91999,0.62973,10.26795,14.16756,40
26,18.75000,25.32832,0.56321,11.12627,15.15997,40
29,9.37500,24.56448,0.49514,12.05132,16.42757,40
31,3.12500,24.06013,0.44618,12.71183,17.24713,40
