blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.04107,7.30008,34.65488,0.96272
innercrop,1.05520,7.22234,32.40408,0.93224
tukey,1.09476,6.39266,31.73503,0.91505
ensemble,0.98480,4.55008,28.34325,0.79026
poisson,0.98334,7.94462,28.62242,0.98407
