blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.07619,7.46358,35.38574,0.96780
innercrop,1.13217,6.84785,31.57303,0.90348
tukey,1.14513,6.48604,32.66596,0.92268
ensemble,1.07482,4.62443,28.96298,0.80491
poisson,1.02584,7.96458,34.43982,0.99092
