blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.02722,8.08883,34.32092,0.96211
innercrop,1.07967,7.69508,30.87846,0.90594
tukey,1.08904,7.06342,31.13608,0.91131
ensemble,1.00335,5.11245,27.69797,0.78114
poisson,0.97422,8.75154,30.10799,0.98587
