blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.31774,7.84202,25.96970,0.70298
linear,1.08421,5.91248,32.79878,0.92447
cosine,1.05779,6.29039,34.02303,0.94638
gaussian,1.03420,6.51619,34.99398,0.95991
data,1.08926,6.18670,33.07531,0.92736
