blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.47709,6.33545,26.58217,0.75301
linear,1.15606,4.88425,33.39099,0.93454
cosine,1.12829,5.20192,34.54546,0.95145
gaussian,1.10484,5.38258,35.37749,0.96183
data,1.15926,5.08454,33.27127,0.93198
