delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,30.03026,0.85155,5.28644,8.55554,40
6,81.25000,29.24949,0.81871,6.13335,9.40755,40
10,68.75000,28.35019,0.78133,7.01337,10.41177,40
13,59.37500,27.69784,0.74726,7.81524,11.33219,40
16,50.00000,27.33920,0.71782,8.39502,11.90350,40
19,40.62500,26.63687,0.66861,9.30496,13.03042,40
22,31.25000,25.94318,0.61672,10.14919,14.05011,40
26,18.75000,24.95574,0.52323,11.47360,15.67008,40
29,9.37500,24.31006,0.45740,12.49264,16.83934,40
31,3.12500,23.81796,0.36852,13.42952,17.84580,40
