blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.27583,7.88908,26.93169,0.75741
linear,1.04939,6.13811,33.67208,0.93988
cosine,1.02856,6.45221,35.04169,0.95690
gaussian,1.01145,6.62650,36.08041,0.96658
data,1.06584,6.37045,33.88362,0.93989
