blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.28059,8.32303,25.49175,0.69154
linear,1.02446,6.05013,31.77069,0.91568
cosine,0.99867,6.45042,32.95721,0.93882
gaussian,0.97439,6.69392,33.94940,0.95360
data,1.03228,6.34403,32.05198,0.91834
