blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.01088,8.50938,34.00330,0.96349
innercrop,1.08130,7.80164,29.62867,0.89273
tukey,1.07484,7.34751,30.37923,0.90982
ensemble,0.99648,5.24154,27.04738,0.77544
poisson,0.96284,9.15856,30.46083,0.98659
