blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.29573,11.10437,24.35015,0.66947
linear,1.10082,8.52391,31.12420,0.91662
cosine,1.07325,9.04417,32.56575,0.94171
gaussian,1.04777,9.33746,33.78664,0.95730
data,1.09018,9.03355,31.76200,0.92778
