delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,32.19900,0.85918,4.48749,6.73930,40
6,81.25000,31.15051,0.83441,5.22893,7.47498,40
10,68.75000,30.17322,0.79992,5.92897,8.30631,40
13,59.37500,29.61183,0.77547,6.52902,8.92218,40
16,50.00000,29.16406,0.74990,7.02714,9.48492,40
19,40.62500,28.27545,0.71413,7.86003,10.47803,40
22,31.25000,27.42268,0.67638,8.84926,11.64515,40
26,18.75000,26.50454,0.60563,9.85253,12.92184,40
29,9.37500,26.21472,0.55789,10.17559,13.48148,40
31,3.12500,26.10129,0.52179,10.46849,13.63369,40
