blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.30389,9.14638,25.15720,0.70987
linear,1.08473,7.02937,32.14109,0.92849
cosine,1.06031,7.46177,33.45908,0.94945
gaussian,1.03697,7.71134,34.51025,0.96205
data,1.07881,7.38000,32.55264,0.93322
