blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.28223,8.47591,25.81871,0.69987
linear,1.07703,6.47278,32.62595,0.92589
cosine,1.05109,6.87140,33.86463,0.94749
gaussian,1.02806,7.10415,34.82461,0.96055
data,1.06749,6.79527,33.02606,0.93103
