blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.09434,8.61584,35.32008,0.96879
innercrop,1.10832,8.46330,32.70295,0.93828
tukey,1.15474,7.56854,32.19870,0.92640
ensemble,1.03870,5.53428,28.49063,0.81077
poisson,1.04548,9.18473,35.94922,0.99178
