delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,30.72985,0.85970,4.73532,7.78306,40
6,81.25000,29.72071,0.82836,5.61242,8.72395,40
10,68.75000,28.71070,0.78943,6.58686,9.81668,40
13,59.37500,27.97892,0.75847,7.31696,10.67118,40
16,50.00000,27.42905,0.72580,7.97941,11.40960,40
19,40.62500,26.73167,0.68178,8.79515,12.39618,40
22,31.25000,26.02083,0.63600,9.63698,13.42112,40
26,18.75000,25.13169,0.55029,10.98237,15.03185,40
29,9.37500,24.37323,0.47766,12.12697,16.55361,40
31,3.12500,23.86993,0.40342,12.96212,17.43309,40
