blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.25524,10.54991,24.42887,0.65022
linear,1.06486,7.91875,31.01780,0.90828
cosine,1.03734,8.43986,32.40163,0.93527
gaussian,1.01156,8.74723,33.59663,0.95241
data,1.06248,8.36661,31.60178,0.91812
