blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.27696,9.38406,25.15938,0.70048
linear,1.07992,7.21741,32.08507,0.92564
cosine,1.05466,7.65901,33.41425,0.94732
gaussian,1.03313,7.91784,34.48055,0.96051
data,1.07280,7.54202,32.37178,0.92873
