blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,0.95676,7.05589,34.30907,0.95820
innercrop,1.02545,6.49513,30.46136,0.88517
tukey,1.01675,6.09871,31.29425,0.90449
ensemble,0.94493,4.22740,28.05983,0.77158
poisson,0.90108,7.70684,32.29426,0.98585
