delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,31.16455,0.84683,4.78590,7.55148,40
6,81.25000,30.23034,0.81128,5.56564,8.45515,40
10,68.75000,29.66710,0.78543,6.10431,8.93956,40
13,59.37500,29.10824,0.75389,6.68301,9.62390,40
16,50.00000,28.65055,0.72864,7.13997,10.13866,40
19,40.62500,28.06475,0.68611,7.78701,10.89072,40
22,31.25000,27.35121,0.64997,8.53386,11.81779,40
26,18.75000,26.28548,0.57339,9.86243,13.42773,40
29,9.37500,25.57499,0.50782,10.92018,14.63953,40
31,3.12500,24.96918,0.46010,11.90525,15.89931,40
