blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.25373,9.77003,25.47383,0.68270
linear,1.11450,7.51393,32.54922,0.92507
cosine,1.08428,8.01571,33.87830,0.94797
gaussian,1.05832,8.29352,34.86906,0.96143
data,1.09755,7.91574,32.86579,0.93168
