delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,30.66724,0.85378,5.21126,7.99663,40
6,81.25000,29.83247,0.81864,5.91934,8.87798,40
10,68.75000,28.66277,0.77446,6.94271,10.09150,40
13,59.37500,28.02309,0.74780,7.67858,10.83236,40
16,50.00000,27.56746,0.71727,8.18622,11.43602,40
19,40.62500,27.15209,0.68208,8.69939,12.04313,40
22,31.25000,26.52645,0.63654,9.63637,13.00330,40
26,18.75000,25.48323,0.57246,11.11544,14.73489,40
29,9.37500,24.48385,0.51058,12.68067,16.69637,40
31,3.12500,23.83617,0.45695,13.80138,18.04733,40
