y,x,delta,overlap_pct,psnr,ssim,mae,rmse
160,768,6,81.25000,33.23268,0.87974,3.51047,5.55784
288,1120,6,81.25000,30.74826,0.84234,5.90264,7.39822
288,1280,6,81.25000,29.62065,0.75483,5.81958,8.42379
448,736,6,81.25000,32.12964,0.81906,4.22983,6.31042
480,32,6,81.25000,37.40292,0.91043,2.65117,3.43870
512,384,6,81.25000,33.05712,0.85055,4.04948,5.67132
512,640,6,81.25000,28.29259,0.84380,7.91518,9.81546
640,1344,6,81.25000,31.15338,0.84363,5.17599,7.06108
704,768,6,81.25000,35.85952,0.88323,3.07150,4.10737
800,736,6,81.25000,35.63830,0.89807,3.04822,4.21333
832,512,6,81.25000,32.93592,0.81819,3.98639,5.75101
832,896,6,81.25000,27.53925,0.74577,7.45255,10.70478
896,640,6,81.25000,33.92956,0.85752,3.64016,5.12935
896,800,6,81.25000,26.66230,0.71629,8.19549,11.84200
928,160,6,81.25000,26.66618,0.76488,7.76713,11.83671
928,416,6,81.25000,28.14588,0.84494,6.09969,9.98266
992,800,6,81.25000,32.06064,0.83753,4.94581,6.36075
1024,1280,6,81.25000,32.30266,0.82662,4.56588,6.18596
1056,960,6,81.25000,32.83308,0.85038,3.90592,5.81951
1088,1312,6,81.25000,35.26331,0.89076,2.87233,4.39921
1184,1120,6,81.25000,34.84108,0.86178,3.34853,4.61834
1216,64,6,81.25000,27.85357,0.76165,7.11492,10.32432
1248,1120,6,81.25000,34.26798,0.86068,3.42721,4.93334
1312,1280,6,81.25000,29.87399,0.86200,4.64186,8.18165
1344,384,6,81.25000,28.29694,0.81999,6.14040,9.81054
1376,864,6,81.25000,29.73949,0.87658,5.27828,8.30933
1376,1376,6,81.25000,32.23641,0.81564,4.31751,6.23332
1408,640,6,81.25000,36.12173,0.94229,2.46211,3.98523
1408,1248,6,81.25000,27.55485,0.74165,6.94558,10.68557
1472,1344,6,81.25000,27.96263,0.77970,6.54871,10.19550
1536,352,6,81.25000,34.65497,0.85165,3.41889,4.71836
1568,1312,6,81.25000,31.87031,0.87892,3.85439,6.50167
1632,640,6,81.25000,29.28586,0.76919,6.13100,8.75482
32,192,10,68.75000,32.73177,0.85041,4.45000,5.88778
32,1152,10,68.75000,26.98599,0.68465,8.05365,11.40882
64,192,10,68.75000,34.54459,0.84464,3.61304,4.77871
64,992,10,68.75000,29.59288,0.76830,6.29426,8.45077
96,96,10,68.75000,28.57331,0.78062,7.34418,9.50331
128,1088,10,68.75000,33.01940,0.77595,4.32789,5.69601
160,160,10,68.75000,27.59105,0.75706,8.98153,10.64113
160,768,10,68.75000,32.92928,0.89518,3.98293,5.75541
288,1120,10,68.75000,31.29707,0.80204,5.16627,6.94523
288,1280,10,68.75000,28.24677,0.69127,7.12070,9.86737
448,736,10,68.75000,31.94687,0.81384,4.81927,6.44461
480,32,10,68.75000,33.91608,0.88736,4.07776,5.13732
512,384,10,68.75000,29.90016,0.78971,6.31323,8.15703
512,640,10,68.75000,30.07134,0.86129,5.87286,7.99785
640,1344,10,68.75000,29.90156,0.80031,5.85542,8.15571
704,768,10,68.75000,33.88460,0.86196,4.05713,5.15597
800,736,10,68.75000,33.59002,0.86916,4.10642,5.33383
832,512,10,68.75000,32.40351,0.79393,4.44442,6.11455
832,896,10,68.75000,27.26027,0.72377,7.79853,11.05418
896,640,10,68.75000,32.76121,0.82550,4.29152,5.86786
896,800,10,68.75000,27.03541,0.74616,7.42951,11.34409
928,160,10,68.75000,23.67224,0.59857,12.17377,16.70813
928,416,10,68.75000,27.31731,0.82857,7.21977,10.98183
992,800,10,68.75000,31.53759,0.81790,5.11331,6.75555
1024,1280,10,68.75000,31.17183,0.75394,5.18304,7.04610
1056,960,10,68.75000,31.06044,0.81052,5.23292,7.13704
1088,1312,10,68.75000,33.18347,0.87807,4.50250,5.58942
1184,1120,10,68.75000,34.07935,0.83096,3.89352,5.04165
1216,64,10,68.75000,26.71194,0.71296,8.29064,11.77452
1248,1120,10,68.75000,33.18732,0.84008,3.86853,5.58694
1312,1280,10,68.75000,28.19930,0.83707,5.47639,9.92145
1344,384,10,68.75000,26.50843,0.75845,7.72130,12.05366
1376,864,10,68.75000,27.94893,0.85742,6.96919,10.21159
1376,1376,10,68.75000,30.96309,0.75008,5.33325,7.21748
1408,640,10,68.75000,34.51531,0.93466,2.63107,4.79484
1408,1248,10,68.75000,29.15220,0.75566,5.98372,8.89058
1472,1344,10,68.75000,27.44811,0.74833,6.61402,10.81769
1536,352,10,68.75000,32.02971,0.82819,4.95324,6.38344
1568,1312,10,68.75000,30.84357,0.85143,4.31741,7.31749
1632,640,10,68.75000,28.97613,0.73561,6.17726,9.07264
32,192,13,59.37500,32.99338,0.84532,4.34343,5.71309
32,1152,13,59.37500,26.81045,0.70848,9.26842,11.64173
64,192,13,59.37500,33.49239,0.81722,4.11460,5.39412
64,992,13,59.37500,29.36338,0.75071,6.46170,8.67703
96,96,13,59.37500,28.92188,0.75365,7.49899,9.12949
128,1088,13,59.37500,32.94611,0.76479,4.42670,5.74427
160,160,13,59.37500,29.05476,0.76098,7.22915,8.99088
160,768,13,59.37500,32.39105,0.87560,4.63409,6.12333
288,1120,13,59.37500,30.63011,0.77503,5.46350,7.49954
288,1280,13,59.37500,26.47945,0.63664,9.24294,12.09393
448,736,13,59.37500,32.14836,0.79132,4.59993,6.29683
480,32,13,59.37500,36.45460,0.88009,3.01312,3.83540
512,384,13,59.37500,30.26990,0.79493,6.15737,7.81709
512,640,13,59.37500,30.99759,0.85386,4.50918,7.18887
640,1344,13,59.37500,29.68200,0.77369,6.05590,8.36450
704,768,13,59.37500,34.14270,0.84718,3.86380,5.00501
800,736,13,59.37500,34.76471,0.84988,3.28779,4.65913
832,512,13,59.37500,29.59889,0.74386,6.67940,8.44492
832,896,13,59.37500,27.57715,0.70174,7.66696,10.65817
896,640,13,59.37500,31.69107,0.79566,4.91128,6.63723
896,800,13,59.37500,27.78245,0.76361,6.95157,10.40921
928,160,13,59.37500,24.48074,0.62863,11.20967,15.22310
928,416,13,59.37500,26.43196,0.81344,8.20023,12.16024
992,800,13,59.37500,32.11782,0.80391,4.84602,6.31901
1024,1280,13,59.37500,31.55445,0.77961,5.01130,6.74245
1056,960,13,59.37500,30.62616,0.79882,5.76516,7.50295
1088,1312,13,59.37500,33.92985,0.86866,3.99131,5.12918
1184,1120,13,59.37500,32.52433,0.81352,4.69570,6.03009
1216,64,13,59.37500,26.13239,0.70004,8.93794,12.58696
1248,1120,13,59.37500,32.37494,0.81235,4.33597,6.13470
1312,1280,13,59.37500,28.20479,0.82811,5.63791,9.91519
1344,384,13,59.37500,27.02591,0.74112,7.33742,11.35651
1376,864,13,59.37500,26.45518,0.83736,8.74453,12.12778
1376,1376,13,59.37500,30.78872,0.72581,5.30360,7.36384
1408,640,13,59.37500,34.77861,0.92500,2.88650,4.65168
1408,1248,13,59.37500,28.20575,0.73675,6.96977,9.91409
1472,1344,13,59.37500,26.48345,0.72342,7.36230,12.08837
1536,352,13,59.37500,33.58226,0.81700,3.97749,5.33860
1568,1312,13,59.37500,29.92230,0.82718,4.90174,8.13626
1632,640,13,59.37500,28.75345,0.70707,6.71177,9.30824
32,192,16,50.00000,32.88118,0.84287,4.49764,5.78737
32,1152,16,50.00000,26.71976,0.64042,8.72791,11.76392
64,192,16,50.00000,33.52678,0.81155,4.12366,5.37281
64,992,16,50.00000,27.48682,0.70595,8.23152,10.76959
96,96,16,50.00000,29.23031,0.73557,7.25209,8.81099
128,1088,16,50.00000,32.62199,0.74980,4.63669,5.96267
160,160,16,50.00000,28.75819,0.73038,7.48827,9.30316
160,768,16,50.00000,34.83247,0.88763,3.42649,4.62292
288,1120,16,50.00000,29.30469,0.75989,6.68160,8.73586
288,1280,16,50.00000,25.71876,0.61363,10.17370,13.20086
448,736,16,50.00000,29.71527,0.75738,6.51822,8.33253
480,32,16,50.00000,33.80496,0.86029,4.32838,5.20346
512,384,16,50.00000,29.89442,0.74955,6.28904,8.16242
512,640,16,50.00000,28.96865,0.88048,7.60907,9.08046
640,1344,16,50.00000,28.71997,0.73747,6.71479,9.34419
704,768,16,50.00000,34.25238,0.82713,3.83878,4.94221
800,736,16,50.00000,34.44328,0.83142,3.38541,4.83478
832,512,16,50.00000,31.28973,0.74011,5.21766,6.95110
832,896,16,50.00000,26.77985,0.64260,8.41906,11.68281
896,640,16,50.00000,32.06256,0.76488,4.74786,6.35934
896,800,16,50.00000,26.08920,0.68228,8.32893,12.64970
928,160,16,50.00000,23.99655,0.57471,11.73650,16.09580
928,416,16,50.00000,24.58803,0.76122,10.12508,15.03622
992,800,16,50.00000,32.46734,0.79360,4.71973,6.06979
1024,1280,16,50.00000,31.23045,0.77195,5.32334,6.99870
1056,960,16,50.00000,29.43395,0.74580,6.49056,8.60681
1088,1312,16,50.00000,31.22144,0.84202,5.92598,7.00597
1184,1120,16,50.00000,33.13612,0.78524,4.37550,5.61997
1216,64,16,50.00000,26.39175,0.69547,8.97390,12.21666
1248,1120,16,50.00000,31.86400,0.78753,4.81120,6.50639
1312,1280,16,50.00000,27.77631,0.77728,6.62515,10.41657
1344,384,16,50.00000,27.12845,0.72064,7.38885,11.22323
1376,864,16,50.00000,25.16523,0.79322,9.92002,14.06950
