delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,32.65127,0.86334,4.18341,6.23076,40
6,81.25000,31.51938,0.82923,4.95271,7.17274,40
10,68.75000,30.41724,0.79879,5.75138,8.07499,40
13,59.37500,30.31414,0.78430,5.93015,8.20882,40
16,50.00000,29.79602,0.75756,6.42929,8.77196,40
19,40.62500,29.27185,0.72733,6.76684,9.24450,40
22,31.25000,28.33015,0.68445,7.76147,10.26779,40
26,18.75000,27.46380,0.61554,8.92878,11.54254,40
29,9.37500,26.98952,0.57270,9.50422,12.19862,40
31,3.12500,26.55878,0.54243,9.88443,12.73300,40
