blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.01976,12.38275,33.86454,0.96271
innercrop,1.01987,12.35218,31.61770,0.93493
tukey,1.07837,10.87763,29.95960,0.90135
ensemble,0.95820,7.95531,26.51057,0.74457
poisson,0.97904,13.21303,30.24922,0.98861
