blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.01452,9.90275,34.02435,0.96188
innercrop,1.05416,9.40222,30.14306,0.90162
tukey,1.07037,8.69468,30.39569,0.90581
ensemble,0.97902,6.44092,26.93951,0.76524
poisson,0.96914,10.58730,31.16599,0.98766
