blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.04961,7.75274,35.13169,0.96575
innercrop,1.10345,7.15883,30.93533,0.90100
tukey,1.11117,6.74756,31.79343,0.91771
ensemble,1.01968,4.85980,28.20278,0.79624
poisson,1.00176,8.29697,35.20238,0.98976
