blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.29048,9.28659,25.56523,0.71945
linear,1.16512,7.50318,32.62259,0.93436
cosine,1.13569,7.98379,33.97346,0.95414
gaussian,1.11165,8.24505,34.97451,0.96545
data,1.13833,7.93373,32.95204,0.94057
