blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.30251,7.49645,26.39170,0.72500
linear,1.09180,5.75015,33.35001,0.93246
cosine,1.06413,6.13042,34.52044,0.95175
gaussian,1.03983,6.33696,35.35694,0.96316
data,1.08784,6.04510,33.64247,0.93732
