delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,30.42026,0.81593,5.62632,8.18277,40
6,81.25000,29.64169,0.79262,6.28541,8.90577,40
10,68.75000,28.76566,0.75192,7.11255,9.86660,40
13,59.37500,27.65405,0.70662,8.33843,11.30162,40
16,50.00000,27.17767,0.67628,9.01365,12.02923,40
19,40.62500,26.72400,0.64773,9.57621,12.57267,40
22,31.25000,26.26390,0.61076,10.11887,13.24946,40
26,18.75000,25.78100,0.55125,10.82413,14.14181,40
29,9.37500,25.34268,0.49398,11.51040,14.85518,40
31,3.12500,25.04676,0.45967,11.96650,15.32678,40
