delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,31.97491,0.86160,4.23483,6.66899,40
6,81.25000,31.02608,0.82907,4.96720,7.40938,40
10,68.75000,30.23972,0.79481,5.62326,8.10619,40
13,59.37500,29.53697,0.76734,6.31663,8.82170,40
16,50.00000,28.98086,0.73429,6.84427,9.46432,40
19,40.62500,28.20374,0.70007,7.65283,10.34529,40
22,31.25000,27.70583,0.65695,8.25008,11.02753,40
26,18.75000,27.07555,0.59128,9.01253,11.99093,40
29,9.37500,26.39242,0.53596,9.89251,13.15943,40
31,3.12500,25.95999,0.48916,10.35112,13.72172,40
