delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,31.38393,0.84772,4.93729,7.53311,40
6,81.25000,30.75915,0.81818,5.53954,8.14879,40
10,68.75000,29.60263,0.78188,6.44474,9.10427,40
13,59.37500,29.11593,0.75570,6.94354,9.68820,40
16,50.00000,28.39003,0.72351,7.59690,10.46510,40
19,40.62500,27.76253,0.68853,8.34485,11.30995,40
22,31.25000,27.38362,0.65566,8.83878,11.86652,40
26,18.75000,26.67828,0.58817,9.61638,12.91859,40
29,9.37500,26.07360,0.53620,10.35834,13.81374,40
31,3.12500,25.49401,0.49442,11.01269,14.72836,40
