delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,28.43058,0.84058,6.20985,10.00761,40
6,81.25000,27.34585,0.80545,7.30444,11.22973,40
10,68.75000,26.46745,0.75974,8.44820,12.50004,40
13,59.37500,25.70811,0.72570,9.39809,13.68148,40
16,50.00000,25.23387,0.69137,10.09331,14.43292,40
19,40.62500,24.53113,0.64184,11.06382,15.60206,40
22,31.25000,24.01631,0.59512,11.96142,16.63059,40
26,18.75000,23.31094,0.51109,13.16350,18.02843,40
29,9.37500,22.96464,0.44800,13.91728,18.89232,40
31,3.12500,22.49027,0.36624,14.92551,20.01049,40
