blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.27433,7.52066,26.33432,0.69799
linear,1.08924,5.58756,32.75568,0.92049
cosine,1.05905,5.97461,33.94115,0.94226
gaussian,1.03358,6.20246,34.86142,0.95601
data,1.07931,5.89315,33.18630,0.92592
