delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,32.43935,0.86339,4.19242,6.52837,40
6,81.25000,31.50580,0.83303,4.89226,7.32259,40
10,68.75000,30.49685,0.80281,5.70815,8.19816,40
13,59.37500,29.87037,0.77911,6.23150,8.83436,40
16,50.00000,29.26373,0.75284,6.80499,9.45125,40
19,40.62500,28.81775,0.71739,7.28646,10.05209,40
22,31.25000,28.06842,0.67773,8.12697,10.96901,40
26,18.75000,26.98701,0.60333,9.54212,12.67102,40
29,9.37500,26.21866,0.55276,10.34426,13.75202,40
31,3.12500,25.49925,0.50791,11.47072,15.14730,40
