delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,28.33877,0.83340,6.36709,10.14076,40
6,81.25000,27.36385,0.79726,7.41928,11.32083,40
10,68.75000,26.35650,0.75223,8.62169,12.69966,40
13,59.37500,25.88491,0.72294,9.27044,13.43444,40
16,50.00000,25.32114,0.68884,10.06391,14.34815,40
19,40.62500,24.62071,0.63863,11.05960,15.57155,40
22,31.25000,24.02291,0.58553,11.96517,16.69647,40
26,18.75000,23.23286,0.50190,13.36340,18.34203,40
29,9.37500,22.63220,0.44025,14.34896,19.55473,40
31,3.12500,22.46061,0.36659,14.89977,20.05080,40
