blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.01533,6.14273,35.56688,0.96745
innercrop,1.05835,5.89703,32.56580,0.92535
tukey,1.07186,5.33385,32.69169,0.92394
ensemble,0.97749,3.76655,29.15872,0.81207
poisson,0.96367,6.62668,35.59053,0.99006
