blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.38142,9.46540,24.45231,0.70705
linear,1.08594,7.14198,31.19358,0.92052
cosine,1.06059,7.55856,32.56772,0.94261
gaussian,1.03737,7.80192,33.75280,0.95678
data,1.09482,7.50034,31.58581,0.92503
