blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.30691,10.81345,23.93718,0.65375
linear,1.17055,8.25043,30.79457,0.91094
cosine,1.13686,8.83297,32.22274,0.93718
gaussian,1.10735,9.18722,33.46330,0.95370
data,1.16004,8.57736,30.98221,0.91275
