y,x,delta,overlap_pct,psnr,ssim,mae,rmse
32,224,0,100.00000,99.99000,1.00000,0.00000,0.00000
32,1184,0,100.00000,99.99000,1.00000,0.00000,0.00000
64,192,0,100.00000,99.99000,1.00000,0.00000,0.00000
64,992,0,100.00000,99.99000,1.00000,0.00000,0.00000
96,96,0,100.00000,99.99000,1.00000,0.00000,0.00000
128,1120,0,100.00000,99.99000,1.00000,0.00000,0.00000
160,160,0,100.00000,99.99000,1.00000,0.00000,0.00000
160,768,0,100.00000,99.99000,1.00000,0.00000,0.00000
288,1152,0,100.00000,99.99000,1.00000,0.00000,0.00000
288,1312,0,100.00000,99.99000,1.00000,0.00000,0.00000
448,768,0,100.00000,99.99000,1.00000,0.00000,0.00000
480,64,0,100.00000,99.99000,1.00000,0.00000,0.00000
512,384,0,100.00000,99.99000,1.00000,0.00000,0.00000
512,640,0,100.00000,99.99000,1.00000,0.00000,0.00000
640,1376,0,100.00000,99.99000,1.00000,0.00000,0.00000
704,800,0,100.00000,99.99000,1.00000,0.00000,0.00000
800,768,0,100.00000,99.99000,1.00000,0.00000,0.00000
832,544,0,100.00000,99.99000,1.00000,0.00000,0.00000
832,928,0,100.00000,99.99000,1.00000,0.00000,0.00000
896,640,0,100.00000,99.99000,1.00000,0.00000,0.00000
896,800,0,100.00000,99.99000,1.00000,0.00000,0.00000
928,160,0,100.00000,99.99000,1.00000,0.00000,0.00000
928,416,0,100.00000,99.99000,1.00000,0.00000,0.00000
992,832,0,100.00000,99.99000,1.00000,0.00000,0.00000
1024,1312,0,100.00000,99.99000,1.00000,0.00000,0.00000
1024,1344,0,100.00000,99.99000,1.00000,0.00000,0.00000
1056,992,0,100.00000,99.99000,1.00000,0.00000,0.00000
1088,1376,0,100.00000,99.99000,1.00000,0.00000,0.00000
1184,1152,0,100.00000,99.99000,1.00000,0.00000,0.00000
1216,96,0,100.00000,99.99000,1.00000,0.00000,0.00000
1248,1152,0,100.00000,99.99000,1.00000,0.00000,0.00000
1312,1312,0,100.00000,99.99000,1.00000,0.00000,0.00000
1344,416,0,100.00000,99.99000,1.00000,0.00000,0.00000
1376,896,0,100.00000,99.99000,1.00000,0.00000,0.00000
1408,32,0,100.00000,99.99000,1.00000,0.00000,0.00000
1408,672,0,100.00000,99.99000,1.00000,0.00000,0.00000
1408,1280,0,100.00000,99.99000,1.00000,0.00000,0.00000
1472,1376,0,100.00000,99.99000,1.00000,0.00000,0.00000
1536,384,0,100.00000,99.99000,1.00000,0.00000,0.00000
1568,1376,0,100.00000,99.99000,1.00000,0.00000,0.00000
32,224,3,90.62500,28.01055,0.84533,6.46125,10.13941
32,1184,3,90.62500,26.75284,0.83534,7.29021,11.71921
64,192,3,90.62500,27.29264,0.85185,6.53693,11.01307
64,992,3,90.62500,33.01876,0.89326,3.56733,5.69642
96,96,3,90.62500,28.35633,0.83155,6.66367,9.74370
128,1120,3,90.62500,28.23014,0.88457,5.58070,9.88629
160,160,3,90.62500,31.66748,0.85846,4.08723,6.65528
160,768,3,90.62500,33.21816,0.86740,3.85766,5.56714
288,1152,3,90.62500,33.55780,0.86193,3.48640,5.35365
288,1312,3,90.62500,26.43359,0.83446,7.50580,12.15796
448,768,3,90.62500,27.46362,0.86516,6.38410,10.79840
480,64,3,90.62500,32.70371,0.86750,3.80132,5.90683
512,384,3,90.62500,36.58441,0.88167,2.83870,3.77850
512,640,3,90.62500,27.98646,0.83507,6.13598,10.16757
640,1376,3,90.62500,27.85886,0.90224,5.69972,10.31804
704,800,3,90.62500,28.21246,0.86965,5.83665,9.90643
800,768,3,90.62500,28.07311,0.83425,5.65255,10.06664
832,544,3,90.62500,29.05073,0.85462,5.49087,8.99505
832,928,3,90.62500,26.42560,0.83917,7.77989,12.16915
896,640,3,90.62500,36.67140,0.92670,2.40889,3.74085
896,800,3,90.62500,29.18666,0.82968,5.23315,8.85538
928,160,3,90.62500,31.99277,0.89047,3.64886,6.41065
928,416,3,90.62500,27.57533,0.81582,6.82975,10.66041
992,832,3,90.62500,29.62219,0.88893,4.38211,8.42230
1024,1312,3,90.62500,26.76043,0.84470,7.10401,11.70897
1024,1344,3,90.62500,25.87645,0.82406,8.08314,12.96337
1056,992,3,90.62500,34.44221,0.88991,3.17349,4.83537
1088,1376,3,90.62500,32.69517,0.89681,3.61583,5.91265
1184,1152,3,90.62500,35.47509,0.91556,2.66835,4.29325
1216,96,3,90.62500,36.95691,0.89970,2.51565,3.61989
1248,1152,3,90.62500,30.38123,0.86128,4.92850,7.71754
1312,1312,3,90.62500,30.55286,0.87864,4.03427,7.56654
1344,416,3,90.62500,29.18172,0.87724,4.96689,8.86041
