delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,31.63361,0.87378,4.37787,7.19548,40
6,81.25000,30.71064,0.84841,5.06699,7.98936,40
10,68.75000,29.72228,0.81491,5.89747,8.92628,40
13,59.37500,29.04243,0.78815,6.55235,9.69485,40
16,50.00000,28.53181,0.76249,7.04959,10.29217,40
19,40.62500,27.89332,0.72687,7.65156,11.07540,40
22,31.25000,27.22657,0.68153,8.38545,11.98130,40
26,18.75000,26.18084,0.60648,9.63525,13.51012,40
29,9.37500,25.28391,0.54596,10.78516,15.12975,40
31,3.12500,24.97464,0.48933,11.48018,15.89778,40
