delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,31.63426,0.84898,4.75505,7.29334,40
6,81.25000,30.50454,0.81915,5.57311,8.29127,40
10,68.75000,29.40109,0.78269,6.45545,9.35476,40
13,59.37500,28.93052,0.75386,7.00214,9.96005,40
16,50.00000,28.47034,0.72523,7.43597,10.47933,40
19,40.62500,27.99402,0.69393,7.98258,11.03859,40
22,31.25000,27.41396,0.65695,8.61474,11.80449,40
26,18.75000,26.78315,0.59485,9.50472,12.81129,40
29,9.37500,26.44972,0.53778,10.05140,13.44807,40
31,3.12500,26.11307,0.49612,10.47210,13.86288,40
