blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.35408,7.36808,25.94378,0.73530
linear,1.12037,5.46900,32.72544,0.93077
cosine,1.09269,5.82251,33.94124,0.94929
gaussian,1.06832,6.02726,34.86136,0.96090
data,1.11666,5.72772,33.06698,0.93408
