delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,31.11452,0.84620,5.22510,8.02009,40
6,81.25000,30.07473,0.81324,6.15682,9.00588,40
10,68.75000,28.90313,0.77223,7.38519,10.32529,40
13,59.37500,28.30522,0.74390,7.87245,10.96191,40
16,50.00000,27.83114,0.71959,8.39566,11.56658,40
19,40.62500,27.46712,0.69064,8.83107,12.09406,40
22,31.25000,26.78912,0.64977,9.66265,13.14640,40
26,18.75000,26.29105,0.59535,10.18173,13.82416,40
29,9.37500,25.29856,0.52454,11.55050,15.45305,40
31,3.12500,25.11540,0.48586,11.93179,15.86076,40
