blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.40975,8.79916,25.02306,0.66780
linear,1.15768,6.43268,31.51333,0.90986
cosine,1.12887,6.86711,32.83272,0.93541
gaussian,1.10201,7.13529,33.99921,0.95206
data,1.16915,6.74600,31.80123,0.91424
