blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.22326,13.58881,23.51963,0.64255
linear,1.08805,10.77676,30.49814,0.91325
cosine,1.06031,11.46639,32.01014,0.94086
gaussian,1.03589,11.84848,33.29595,0.95720
data,1.06041,11.39925,31.07689,0.92483
